City,Route No.,Number of Lanes,Site ID,Site Type,2016 AADT,2017 AADT,2018 AADT,2016 AADTT,2017 AADTT,2018 AADTT,Latitude,Longitude,Distance (Miles)
Dubois,SR-56,2,990603,ATR,3851,3844,3817,557,567,648,38.478111,-86.834809,2.5
Lynnville,SR-61,2,990604,ATR,873,834,813,170,168,121,38.463242,-87.264005,1.1
Ferdinand,I-64,4,990605,ATR,14092,10019,16448,3613,1929,5330,38.20577,-86.863009,0.9
English,SR-64,2,990606,ATR,4042,4069,3945,459,494,472,38.350034,-86.453412,
Evansville,US-41,4,990607,ATR,19914,21383,21288,2348,2316,2560,38.140664,-87.550843,7
Evansville,SR-66,4,990608,ATR,17690,17987,18954,1003,1344,1516,38.002438,-87.578531,
Evansville,US-41,4,990609,ATR,39084,36034,,4304,3455,,37.924173,-87.548203,0.7
Poseyville,I-64,4,990611,ATR,13203,13528,13667,4597,4747,4806,38.164895,-87.737655,5
Lafayette,US-231,2,950102,WIM,8623,8862,9091,982,995,1051,40.298329,-86.90371,5
Brazil,I-70,4,950106,WIM,33129,33617,34458,11902,12564,9987,39.464517,-87.063835,7
Indianapolis,I-74,4,950109,WIM,40006,42308,42365,7056,7698,7687,39.818194,-86.302979,
Valparaiso,US-30,4,950436,WIM,,17829,19605,,4102,5139,41.439934,-86.965627,
Fowler,US-41,4,951000,WIM,3743,3803,3542,1298,1319,1254,40.597695,-87.380068,3.5
Covington,I-74,4,951200,WIM,17818,17658,18046,5760,4930,3662,40.121536,-87.440784,2.2
Angola,I-69,11,952000,WIM,28972,25217,26176,7844,7744,7905,41.491055,-85.053854,9.5
Wabash,US-24,4,952100,WIM,10528,9934,10076,1823,2144,2131,40.808248,-85.950618,5.5
Fort Wayne,US-27,4,952200,WIM,9743,10839,10942,1660,1783,1796,40.914753,-85.010336,9
Marion,I-69,4,952300,WIM,30034,30088,30010,9350,6812,9001,40.610049,-85.536621,3
Woodburn,US-24,4,952700,WIM,13027,14026,13449,5317,5850,5964,41.150113,-84.828408,11
Noblesville,SR-37,4,953100,WIM,27334,32323,34874,1592,93,2066,39.998754,-86.00396,
Indianapolis,I-70,5,950315,WIM,58443,53758,,7789,4805,,39.789279,-86.12878,
Indianapolis,I-70,5,950316,WIM,59115,53835,,8611,7367,,39.789461,-86.128919,
Indianapolis,I-465,6,953310,WIM,53548,57970,58269,9666,10828,9912,39.723976,-86.264681,
Indianapolis,I-465,6,953320,WIM,51351,52152,22991,8426,8423,3659,39.724084,-86.264311,
South Port,I-65,6,953400,WIM,46337,61369,48953,8566,11078,9113,39.660137,-86.081538,0.5
Indianapolis,I-465,6,953510,WIM,,91483,69377,,14190,9825,39.819503,-86.030867,
Indianapolis,I-465,6,953520,WIM,83614,81671,83209,12752,11844,12157,39.819503,-86.031201,
Greenfield,I-70,4,953600,WIM,40382,41210,39125,17210,18093,16965,39.825367,-85.696547,3.7
Richmond,I-70,4,953700,WIM,37092,38268,32603,15581,17468,15516,39.840077,-84.823997,
Gary,I-80,5,954010,WIM,91105,75013,,23135,16264,,41.569752,-87.410211,
Gary,I-80,5,954020,WIM,136423,146532,72508,34205,35414,8713,41.569752,-87.4105,
Merrillville,I-65,3,954200,WIM,89362,,101711,17956,,18118,41.489822,-87.32004,
Michigan City,I-94,6,954300,WIM,,40298,45882,,13573,17726,41.748228,-86.769631,5
Lake Station,I-80,5,954410,WIM,49830,40382,54030,14865,11601,15325,41.57384,-87.275958,
